item,itemLabel,image
http://www.wikidata.org/entity/Q140209,Zag,http://commons.wikimedia.org/wiki/Special:FilePath/Zag%20town%20-%20South%20Morocco.jpg
http://www.wikidata.org/entity/Q140354,Zagora,http://commons.wikimedia.org/wiki/Special:FilePath/Zagora.jpg
http://www.wikidata.org/entity/Q144416,Zaio,http://commons.wikimedia.org/wiki/Special:FilePath/Zaio%20maroc%2008-2004.jpg
http://www.wikidata.org/entity/Q178172,Azemmour,http://commons.wikimedia.org/wiki/Special:FilePath/Azemmour%20from%20Oum%20Er-Rbia.jpg
http://www.wikidata.org/entity/Q184459,Zeghanghane,http://commons.wikimedia.org/wiki/Special:FilePath/Azghenghan%20city%20Nador%20province%20Morocco.jpg
http://www.wikidata.org/entity/Q259477,El Argoub,http://commons.wikimedia.org/wiki/Special:FilePath/Dakhla%20Peninsula%20Monument.jpg
http://www.wikidata.org/entity/Q260908,Ait Ourir,http://commons.wikimedia.org/wiki/Special:FilePath/Ait%20Ourir.JPG
http://www.wikidata.org/entity/Q335141,Tinghir,http://commons.wikimedia.org/wiki/Special:FilePath/Assole%20in%20Tinghir.jpg
http://www.wikidata.org/entity/Q335141,Tinghir,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%20Africa%20Flickr%20Rosino%20December%202005%2083957092.jpg
http://www.wikidata.org/entity/Q345204,Dakhla,http://commons.wikimedia.org/wiki/Special:FilePath/Dajla-ad-Dajla-Villa%20Cisneros.png
http://www.wikidata.org/entity/Q388222,Timahdite,http://commons.wikimedia.org/wiki/Special:FilePath/Oviete%20Timahdite%20pesse%20rifwaite.jpg
http://www.wikidata.org/entity/Q412703,Ajdir,http://commons.wikimedia.org/wiki/Special:FilePath/I%20%28119%29.jpg
http://www.wikidata.org/entity/Q428202,Farkhana,http://commons.wikimedia.org/wiki/Special:FilePath/Farjana%20y%20monte%20Gurug%C3%BA.jpg
http://www.wikidata.org/entity/Q512217,Asni,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20de%20sant%C3%A9%20d%27Asni%20%28Maroc%29.jpg
