item,itemLabel,image
http://www.wikidata.org/entity/Q2293231,Bouarfa,
http://www.wikidata.org/entity/Q2293260,Ain Bni Mathar,
http://www.wikidata.org/entity/Q2294808,Ben Ahmed,
http://www.wikidata.org/entity/Q2294821,Bhalil,
http://www.wikidata.org/entity/Q2294847,Bouskoura,
http://www.wikidata.org/entity/Q2319740,El Menzel,
http://www.wikidata.org/entity/Q2329701,Taourirt,
http://www.wikidata.org/entity/Q2330467,Guercif,
http://www.wikidata.org/entity/Q2359952,Sidi Slimane,
http://www.wikidata.org/entity/Q2384142,Ait Melloul,
http://www.wikidata.org/entity/Q2413049,Soualem,
http://www.wikidata.org/entity/Q2435851,Boumalne Dades,
http://www.wikidata.org/entity/Q2436732,Tissa,
http://www.wikidata.org/entity/Q2484384,Aklim,
http://www.wikidata.org/entity/Q2501764,M'diq,
http://www.wikidata.org/entity/Q2501786,Tiflet,
http://www.wikidata.org/entity/Q2501809,Midelt,
http://www.wikidata.org/entity/Q2540234,Demnate,
http://www.wikidata.org/entity/Q2540367,Missour,
http://www.wikidata.org/entity/Q2542724,Ben Guerir,
http://www.wikidata.org/entity/Q2544562,Targuist,
http://www.wikidata.org/entity/Q2544567,Tahla,
http://www.wikidata.org/entity/Q2544620,Ahfir,
http://www.wikidata.org/entity/Q2544644,Souk El Arbaa,
http://www.wikidata.org/entity/Q2548730,Taounate,
http://www.wikidata.org/entity/Q2556989,Imouzzer Kandar,
http://www.wikidata.org/entity/Q2557021,Imouzzer Marmoucha,
http://www.wikidata.org/entity/Q2579094,Tamanar,
http://www.wikidata.org/entity/Q2606723,El Hajeb,
http://www.wikidata.org/entity/Q2616240,Awlad an-Nama,
http://www.wikidata.org/entity/Q2626422,Akka,
http://www.wikidata.org/entity/Q2626632,Martil,
http://www.wikidata.org/entity/Q2627209,Youssoufia,
http://www.wikidata.org/entity/Q2717415,Agdz,
http://www.wikidata.org/entity/Q2717813,Amizmiz,
http://www.wikidata.org/entity/Q2719983,Imzouren,
http://www.wikidata.org/entity/Q2736030,Inezgane,
http://www.wikidata.org/entity/Q2745175,Boulemane,
http://www.wikidata.org/entity/Q2801411,Ben Taieb,
http://www.wikidata.org/entity/Q2827113,Agourai,
http://www.wikidata.org/entity/Q2828136,Ain Taoujdate,
http://www.wikidata.org/entity/Q2858000,Aoulouz,
http://www.wikidata.org/entity/Q2876313,Ain Erreggada,
http://www.wikidata.org/entity/Q2876468,Ait Baha,
http://www.wikidata.org/entity/Q2876490,Ait Iaaza,
http://www.wikidata.org/entity/Q2895544,Ben Sergao,
http://www.wikidata.org/entity/Q2895854,Fkih Ben Saleh,
http://www.wikidata.org/entity/Q2907474,Bni Drar,
http://www.wikidata.org/entity/Q2921521,Boufakrane,
http://www.wikidata.org/entity/Q2921651,Bouizakarne,
http://www.wikidata.org/entity/Q2921654,Boujniba,
http://www.wikidata.org/entity/Q3015942,Dar Gueddari,
http://www.wikidata.org/entity/Q3020034,Dcheira El Jihadia,
http://www.wikidata.org/entity/Q3049730,El Aioun Sidi Mellouk,
http://www.wikidata.org/entity/Q3049747,El Borouj,
http://www.wikidata.org/entity/Q3049863,El Gara,
http://www.wikidata.org/entity/Q3049896,El Guerdane,
http://www.wikidata.org/entity/Q3049944,El Hanchane,
http://www.wikidata.org/entity/Q3050022,El Ksiba,
http://www.wikidata.org/entity/Q3050142,El Ouatia,
http://www.wikidata.org/entity/Q3055931,Er-Rich,
http://www.wikidata.org/entity/Q3064838,Fam El Hisn,
http://www.wikidata.org/entity/Q3078218,Lahraouyine,
http://www.wikidata.org/entity/Q3079930,Foum Zguid,
http://www.wikidata.org/entity/Q3099183,Oued Laou,
http://www.wikidata.org/entity/Q3104753,Ghafsai,
http://www.wikidata.org/entity/Q3111649,Goulmima,
http://www.wikidata.org/entity/Q3119260,Gueznaia,
http://www.wikidata.org/entity/Q3125519,Had Kourt,
http://www.wikidata.org/entity/Q3127439,Harhoura,
http://www.wikidata.org/entity/Q3128336,Hattane,
http://www.wikidata.org/entity/Q3154347,Irherm,
http://www.wikidata.org/entity/Q3161600,Jamaat Shaim,
http://www.wikidata.org/entity/Q3183779,Jorf El Melha,
http://www.wikidata.org/entity/Q3216488,Lakhsas,
http://www.wikidata.org/entity/Q3269930,El Attaouia,
http://www.wikidata.org/entity/Q3303856,Mechra Bel Ksiri,
http://www.wikidata.org/entity/Q3332175,"Mechouar, Casablanca",
http://www.wikidata.org/entity/Q3335196,Naema,
http://www.wikidata.org/entity/Q3358142,Ouislane,
http://www.wikidata.org/entity/Q3358157,Oulad Berhil,
http://www.wikidata.org/entity/Q3358158,Oulad Ayad,
http://www.wikidata.org/entity/Q3358169,Oulad M'Rah,
http://www.wikidata.org/entity/Q3358599,Outat El Haj,
http://www.wikidata.org/entity/Q3430101,Ribate El Kheir,
http://www.wikidata.org/entity/Q3441236,Rommani,
http://www.wikidata.org/entity/Q3460453,Sabaa Aiyoun,
http://www.wikidata.org/entity/Q3476964,Sebt Gzoula,
http://www.wikidata.org/entity/Q3483178,Sidi Allal El Bahraoui,
http://www.wikidata.org/entity/Q3483201,Sidi Bou Othmane,
http://www.wikidata.org/entity/Q3483204,Bouknadel,
http://www.wikidata.org/entity/Q3483281,Sidi Rahhal,
http://www.wikidata.org/entity/Q3483293,Sidi Slimane Echcharraa,
http://www.wikidata.org/entity/Q3514557,Talmest,
http://www.wikidata.org/entity/Q3519588,Thar Essouk,
http://www.wikidata.org/entity/Q3529467,Tit Mellil,
http://www.wikidata.org/entity/Q3532767,Touarga,
http://www.wikidata.org/entity/Q3532864,Touissit,
http://www.wikidata.org/entity/Q3532881,Toulal,
http://www.wikidata.org/entity/Q3544425,El Marsa,
http://www.wikidata.org/entity/Q3574798,Zaouiat Cheikh,
http://www.wikidata.org/entity/Q3985724,El Kelaa des Sraghna,
http://www.wikidata.org/entity/Q4115438,Zemamra,
http://www.wikidata.org/entity/Q4418748,Sidi Bennour,
http://www.wikidata.org/entity/Q5351554,El Mansouria,
http://www.wikidata.org/entity/Q6516444,Lbir Jdid,
http://www.wikidata.org/entity/Q12211296,Dar Bouazza,
http://www.wikidata.org/entity/Q13420293,Tazenakht,
http://www.wikidata.org/entity/Q16208113,Al Machouar – Stinia,
http://www.wikidata.org/entity/Q17052225,Sidi Rahal Chatai,
http://www.wikidata.org/entity/Q20385782,Mechouar Fes Jdid,
http://www.wikidata.org/entity/Q20395672,Aïn Attig,
http://www.wikidata.org/entity/Q21657011,Q21657011,
http://www.wikidata.org/entity/Q27534342,Mechouar Kasba,
http://www.wikidata.org/entity/Q27536933,Moulay Ali Cherif,
http://www.wikidata.org/entity/Q86430024,Ouzoud,
http://www.wikidata.org/entity/Q4759,Saïdia,
http://www.wikidata.org/entity/Q52603,Ksar el-Kebir,
http://www.wikidata.org/entity/Q140209,Zag,
http://www.wikidata.org/entity/Q140354,Zagora,
http://www.wikidata.org/entity/Q144416,Zaio,
http://www.wikidata.org/entity/Q178172,Azemmour,
http://www.wikidata.org/entity/Q178663,Meknes,
http://www.wikidata.org/entity/Q183405,YOUSSOUFIA,
http://www.wikidata.org/entity/Q184459,Zeghanghane,
http://www.wikidata.org/entity/Q185157,Tétouan,
