item,itemLabel,image
http://www.wikidata.org/entity/Q204287,Zinat,
http://www.wikidata.org/entity/Q252511,Oulad Said,
http://www.wikidata.org/entity/Q259477,El Argoub,
http://www.wikidata.org/entity/Q280853,Selouane,
http://www.wikidata.org/entity/Q302201,Bouabout,
http://www.wikidata.org/entity/Q388222,Timahdite,
http://www.wikidata.org/entity/Q428202,Farkhana,
http://www.wikidata.org/entity/Q512217,Asni,
http://www.wikidata.org/entity/Q532652,Bouguedra,
http://www.wikidata.org/entity/Q540643,Ain Leuh,
http://www.wikidata.org/entity/Q542826,Drarga,
http://www.wikidata.org/entity/Q553125,Lamjaara,
http://www.wikidata.org/entity/Q553133,Zirara,
http://www.wikidata.org/entity/Q599897,Boujdour,
http://www.wikidata.org/entity/Q600883,Temsia,
http://www.wikidata.org/entity/Q605549,Ihddaden,
http://www.wikidata.org/entity/Q621472,Taghazout,
http://www.wikidata.org/entity/Q628903,Snada,
http://www.wikidata.org/entity/Q683959,Talsint,
http://www.wikidata.org/entity/Q817275,Bni Chiker,
http://www.wikidata.org/entity/Q894941,Bou Craa,
http://www.wikidata.org/entity/Q894944,Bouarg,
http://www.wikidata.org/entity/Q920156,Bab Taza,
http://www.wikidata.org/entity/Q952999,Souk Tlet El Gharb,
http://www.wikidata.org/entity/Q956049,Oulad Youssef,
http://www.wikidata.org/entity/Q966350,Lqliâa,
http://www.wikidata.org/entity/Q984312,Alnif,
http://www.wikidata.org/entity/Q1004716,Ras el Ma,
http://www.wikidata.org/entity/Q1010760,Telouet,
http://www.wikidata.org/entity/Q1014625,M'Hamid El Ghizlane,
http://www.wikidata.org/entity/Q1089347,Amgala,
http://www.wikidata.org/entity/Q1158785,Afourar,
http://www.wikidata.org/entity/Q1165464,Daoura,
http://www.wikidata.org/entity/Q1169573,Sid L'Mokhtar,
http://www.wikidata.org/entity/Q1169828,Lalla Mimouna,
http://www.wikidata.org/entity/Q1169855,Foum Jamaa,
http://www.wikidata.org/entity/Q1259122,Driouch,
http://www.wikidata.org/entity/Q1300325,Mahbes,
http://www.wikidata.org/entity/Q1324202,El Hagounia,
http://www.wikidata.org/entity/Q1356850,La Güera,
http://www.wikidata.org/entity/Q1380087,Guelta Zemmur,
http://www.wikidata.org/entity/Q1440541,Fraita,
http://www.wikidata.org/entity/Q1582100,Tiout,
http://www.wikidata.org/entity/Q1584114,Haouza,
http://www.wikidata.org/entity/Q1656837,Jdiriya,
http://www.wikidata.org/entity/Q1657147,Ighrem N'Ougdal,
http://www.wikidata.org/entity/Q1678519,Lalla Takerkoust,
http://www.wikidata.org/entity/Q1942317,Bni Gmil,
http://www.wikidata.org/entity/Q1982665,Kassita,
http://www.wikidata.org/entity/Q2006438,Temsamane,
http://www.wikidata.org/entity/Q2026640,Aousserd,
http://www.wikidata.org/entity/Q2094680,Tafersit,
http://www.wikidata.org/entity/Q2152433,Midar,
http://www.wikidata.org/entity/Q2154823,Rissani,
http://www.wikidata.org/entity/Q2281695,Ifrane Atlas-Saghir,
http://www.wikidata.org/entity/Q2294847,Bouskoura,
http://www.wikidata.org/entity/Q2363471,Harbil,
http://www.wikidata.org/entity/Q2368725,Ameur Seflia,
http://www.wikidata.org/entity/Q2368770,M'Saada,
http://www.wikidata.org/entity/Q2368779,Haddada,
http://www.wikidata.org/entity/Q2368792,Oued El Makhazine,
http://www.wikidata.org/entity/Q2368809,Kceibya,
http://www.wikidata.org/entity/Q2368837,Azghar,
http://www.wikidata.org/entity/Q2368874,Sfafaa,
http://www.wikidata.org/entity/Q2368920,Kariat Ben Aouda,
http://www.wikidata.org/entity/Q2368935,Oulad Ben Hammadi,
http://www.wikidata.org/entity/Q2368948,Chouafaa,
http://www.wikidata.org/entity/Q2368983,Ben Mansour,
http://www.wikidata.org/entity/Q2369007,Mograne,
http://www.wikidata.org/entity/Q2369020,Dar Bel Amri,
http://www.wikidata.org/entity/Q2369027,Oulad Slama,
http://www.wikidata.org/entity/Q2369044,Sidi Mohamed Lahmar,
http://www.wikidata.org/entity/Q2383366,Ksar es-Seghir,
http://www.wikidata.org/entity/Q2388243,Tah,
http://www.wikidata.org/entity/Q2398281,Assahrij,
http://www.wikidata.org/entity/Q2404500,Bni Karrich,
http://www.wikidata.org/entity/Q2413049,Soualem,
http://www.wikidata.org/entity/Q2414144,"Boumia, Morocco",
http://www.wikidata.org/entity/Q2435042,Hassi Berkane,
http://www.wikidata.org/entity/Q2541521,Zegzel,
http://www.wikidata.org/entity/Q2544597,Aourir,
http://www.wikidata.org/entity/Q2637709,Bir Gandus,
http://www.wikidata.org/entity/Q2676569,Imilchil,
http://www.wikidata.org/entity/Q2678389,Dar El Kebdani,
http://www.wikidata.org/entity/Q2717813,Amizmiz,
http://www.wikidata.org/entity/Q2737756,Issaguen,
http://www.wikidata.org/entity/Q2744413,Moqrisset,
http://www.wikidata.org/entity/Q2782530,Mzilate,
http://www.wikidata.org/entity/Q2782535,Sidi M'Hamed Ou Marzouq,
http://www.wikidata.org/entity/Q2782569,Ahdil,
http://www.wikidata.org/entity/Q2801411,Ben Taieb,
http://www.wikidata.org/entity/Q2826830,Aghbala,
