item,itemLabel,image
http://www.wikidata.org/entity/Q259477,El Argoub,http://commons.wikimedia.org/wiki/Special:FilePath/Dakhla%20Peninsula%20Monument.jpg
http://www.wikidata.org/entity/Q302201,Bouabout,http://commons.wikimedia.org/wiki/Special:FilePath/Bouabout%20%28kommunhuvudort%29.jpg
http://www.wikidata.org/entity/Q388222,Timahdite,http://commons.wikimedia.org/wiki/Special:FilePath/Oviete%20Timahdite%20pesse%20rifwaite.jpg
http://www.wikidata.org/entity/Q428202,Farkhana,http://commons.wikimedia.org/wiki/Special:FilePath/Farjana%20y%20monte%20Gurug%C3%BA.jpg
http://www.wikidata.org/entity/Q512217,Asni,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20de%20sant%C3%A9%20d%27Asni%20%28Maroc%29.jpg
http://www.wikidata.org/entity/Q540643,Ain Leuh,http://commons.wikimedia.org/wiki/Special:FilePath/Ain%20leuh.jpg
http://www.wikidata.org/entity/Q540643,Ain Leuh,http://commons.wikimedia.org/wiki/Special:FilePath/Ain%20Leuh.jpg
http://www.wikidata.org/entity/Q540643,Ain Leuh,http://commons.wikimedia.org/wiki/Special:FilePath/Chimneys%20in%20the%20evening%20%28Ain%20Leuh%29.jpg
http://www.wikidata.org/entity/Q599897,Boujdour,http://commons.wikimedia.org/wiki/Special:FilePath/Boujdour.jpg
http://www.wikidata.org/entity/Q599897,Boujdour,http://commons.wikimedia.org/wiki/Special:FilePath/Ruta%20N1%20a%20la%20salida%20de%20Bojador%20%28Sahara%20Occidental%29.jpg
http://www.wikidata.org/entity/Q600883,Temsia,http://commons.wikimedia.org/wiki/Special:FilePath/%26TEMSIA.jpg
http://www.wikidata.org/entity/Q605549,Ihddaden,http://commons.wikimedia.org/wiki/Special:FilePath/Commune-Ihaddaden.jpg
http://www.wikidata.org/entity/Q621472,Taghazout,http://commons.wikimedia.org/wiki/Special:FilePath/A%20neighborhood%20in%20Taghazout.jpg
http://www.wikidata.org/entity/Q683959,Talsint,http://commons.wikimedia.org/wiki/Special:FilePath/LMAN-yallah%2C%20heading%20to%20Talsint.jpg
http://www.wikidata.org/entity/Q817275,Bni Chiker,http://commons.wikimedia.org/wiki/Special:FilePath/Souk-El-Had.jpg
