item,itemLabel,image
http://www.wikidata.org/entity/Q2293231,Bouarfa,http://commons.wikimedia.org/wiki/Special:FilePath/Bouarfa%20%D8%A8%D9%88%D8%B9%D8%B1%D9%81%D8%A9.JPG
http://www.wikidata.org/entity/Q2294808,Ben Ahmed,http://commons.wikimedia.org/wiki/Special:FilePath/Villebenahmed.jpg
http://www.wikidata.org/entity/Q2294847,Bouskoura,http://commons.wikimedia.org/wiki/Special:FilePath/Bouskoura%20Morocco.jpg
http://www.wikidata.org/entity/Q2329701,Taourirt,http://commons.wikimedia.org/wiki/Special:FilePath/Taourirt%20Maroc%20002.JPG
http://www.wikidata.org/entity/Q2330467,Guercif,http://commons.wikimedia.org/wiki/Special:FilePath/Guercif%20la%20neige.jpg
http://www.wikidata.org/entity/Q2359952,Sidi Slimane,http://commons.wikimedia.org/wiki/Special:FilePath/Gare%20de%20train%20de%20Sidi%20Slimane.jpg
http://www.wikidata.org/entity/Q2384142,Ait Melloul,http://commons.wikimedia.org/wiki/Special:FilePath/Traffic%20light%20Ait%20Melloul%202020.jpg
http://www.wikidata.org/entity/Q2413049,Soualem,http://commons.wikimedia.org/wiki/Special:FilePath/Municipalit%C3%A9%20de%20Had%20Soualem.jpg
http://www.wikidata.org/entity/Q2435851,Boumalne Dades,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%20Africa%20Flickr%20Rosino%20December%202005%2083614547.jpg
http://www.wikidata.org/entity/Q2435851,Boumalne Dades,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%2C%20Dr%C3%A2a-Tafilalet%20Region%2C%20Tinghir%20Province%2C%20Boumalne-Dad%C3%A8s%20%282%29.jpg
http://www.wikidata.org/entity/Q2436732,Tissa,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20ville%20de%20Tissa.jpg
http://www.wikidata.org/entity/Q2501764,M'diq,http://commons.wikimedia.org/wiki/Special:FilePath/M%27diq.jpg
http://www.wikidata.org/entity/Q2501786,Tiflet,http://commons.wikimedia.org/wiki/Special:FilePath/Landscape%20from%20tiflet%20near%20the%20capital%20of%20Morocco.jpg
http://www.wikidata.org/entity/Q2501809,Midelt,http://commons.wikimedia.org/wiki/Special:FilePath/Midelt%20ayachi.jpg
http://www.wikidata.org/entity/Q2540234,Demnate,http://commons.wikimedia.org/wiki/Special:FilePath/J4x-EoM9V4dnedTr0DYA%206K8ld0.jpg
http://www.wikidata.org/entity/Q2540367,Missour,http://commons.wikimedia.org/wiki/Special:FilePath/Tidarin%20missour%20maroc.jpg
http://www.wikidata.org/entity/Q2542724,Ben Guerir,http://commons.wikimedia.org/wiki/Special:FilePath/Dragline%20OCP%20benguerir.jpg
http://www.wikidata.org/entity/Q2542724,Ben Guerir,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%2C%20Benguerir.jpg
http://www.wikidata.org/entity/Q2544562,Targuist,http://commons.wikimedia.org/wiki/Special:FilePath/Ciudad%20de%20targuist.jpg
http://www.wikidata.org/entity/Q2544562,Targuist,http://commons.wikimedia.org/wiki/Special:FilePath/Targuist.jpg
http://www.wikidata.org/entity/Q2544620,Ahfir,http://commons.wikimedia.org/wiki/Special:FilePath/Ahfir-crossroads.jpg
http://www.wikidata.org/entity/Q2544620,Ahfir,http://commons.wikimedia.org/wiki/Special:FilePath/Ahfir%2C%20Berkane%20Province%2C%20Oriental%20Region%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q2544644,Souk El Arbaa,http://commons.wikimedia.org/wiki/Special:FilePath/Souk%20el%20arbaa.jpg
http://www.wikidata.org/entity/Q2548730,Taounate,http://commons.wikimedia.org/wiki/Special:FilePath/20141218%20-%20Barrage%20Sahla%20-%20Morocco%20-%20Air%20Photo%20by%20sebaso.jpg
http://www.wikidata.org/entity/Q2548730,Taounate,http://commons.wikimedia.org/wiki/Special:FilePath/AL%20Wahda%20lac%20-%20TAOUNATE.jpg
http://www.wikidata.org/entity/Q2556989,Imouzzer Kandar,http://commons.wikimedia.org/wiki/Special:FilePath/Imouzzer%20de%20kandar.jpg
http://www.wikidata.org/entity/Q2557021,Imouzzer Marmoucha,http://commons.wikimedia.org/wiki/Special:FilePath/Charchoura.jpeg
http://www.wikidata.org/entity/Q2579094,Tamanar,http://commons.wikimedia.org/wiki/Special:FilePath/Oued%20Tamanar%202010.JPG
http://www.wikidata.org/entity/Q2606723,El Hajeb,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Hajeb%20%28Maroc%29%20vue%20depuis%20les%20falaises.jpg
http://www.wikidata.org/entity/Q2606723,El Hajeb,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Hajeb%20Lac%20%28Maroc%29.JPG
http://www.wikidata.org/entity/Q2626422,Akka,http://commons.wikimedia.org/wiki/Special:FilePath/Akka%20%2810%29.JPG
http://www.wikidata.org/entity/Q2626632,Martil,http://commons.wikimedia.org/wiki/Special:FilePath/Martil%201.jpg
http://www.wikidata.org/entity/Q2626632,Martil,http://commons.wikimedia.org/wiki/Special:FilePath/Martilly2.jpg
http://www.wikidata.org/entity/Q2627209,Youssoufia,http://commons.wikimedia.org/wiki/Special:FilePath/Youssoufia.jpg
http://www.wikidata.org/entity/Q2717415,Agdz,http://commons.wikimedia.org/wiki/Special:FilePath/Agdz%20centre.JPG
http://www.wikidata.org/entity/Q2717813,Amizmiz,http://commons.wikimedia.org/wiki/Special:FilePath/Amizmiz%20001.jpeg
http://www.wikidata.org/entity/Q2717813,Amizmiz,http://commons.wikimedia.org/wiki/Special:FilePath/Amizmiz%20004.jpeg
http://www.wikidata.org/entity/Q2719983,Imzouren,http://commons.wikimedia.org/wiki/Special:FilePath/Imzouren.jpg
http://www.wikidata.org/entity/Q2736030,Inezgane,http://commons.wikimedia.org/wiki/Special:FilePath/Inezgane%20Transport%20Centre.jpg
http://www.wikidata.org/entity/Q2745175,Boulemane,http://commons.wikimedia.org/wiki/Special:FilePath/Boulemane.jpg
http://www.wikidata.org/entity/Q2745175,Boulemane,http://commons.wikimedia.org/wiki/Special:FilePath/Boulemane-crop.jpg
http://www.wikidata.org/entity/Q2801411,Ben Taieb,http://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Taieb%20Downtown%2C%20Nador%20Province.jpg
http://www.wikidata.org/entity/Q2828136,Ain Taoujdate,http://commons.wikimedia.org/wiki/Special:FilePath/Unidentified%20of%20ONCF%20between%20Ain%20Taoujdate%20and%20Seba%20Ayoun%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q2858000,Aoulouz,http://commons.wikimedia.org/wiki/Special:FilePath/Farm%20-%20Aoulouz%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q2876468,Ait Baha,http://commons.wikimedia.org/wiki/Special:FilePath/Ait%20Baha%20seen%20from%20north.JPG
http://www.wikidata.org/entity/Q2876490,Ait Iaaza,http://commons.wikimedia.org/wiki/Special:FilePath/Ait%20Iazza-Market.jpg
http://www.wikidata.org/entity/Q2907474,Bni Drar,http://commons.wikimedia.org/wiki/Special:FilePath/Bni%20Drar%2C%20Nadour%20Province.jpg
http://www.wikidata.org/entity/Q2921651,Bouizakarne,http://commons.wikimedia.org/wiki/Special:FilePath/BOUIZAKARNE.JPG
http://www.wikidata.org/entity/Q2921654,Boujniba,http://commons.wikimedia.org/wiki/Special:FilePath/BACHAOUIAT%20BOUJNIBA.jpg
http://www.wikidata.org/entity/Q3020034,Dcheira El Jihadia,http://commons.wikimedia.org/wiki/Special:FilePath/DCHEIRA.jpg
http://www.wikidata.org/entity/Q3049730,El Aioun Sidi Mellouk,http://commons.wikimedia.org/wiki/Special:FilePath/Kasbah%20%28El%20aioun%29.jpg
http://www.wikidata.org/entity/Q3050142,El Ouatia,http://commons.wikimedia.org/wiki/Special:FilePath/Plage%20du%20Maroc%20atlantique%20El%20Ouatia.jpg
http://www.wikidata.org/entity/Q3055931,Er-Rich,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Town%20Rich%20in%20Morocco%202011.jpg
http://www.wikidata.org/entity/Q3064838,Fam El Hisn,http://commons.wikimedia.org/wiki/Special:FilePath/Fam%20El%20Hisn%2C%20Tata%20Province%2C%20Souss-Massa%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q3079930,Foum Zguid,http://commons.wikimedia.org/wiki/Special:FilePath/Maroc%20Foum%20Zguid%20centre%20ville.jpg
http://www.wikidata.org/entity/Q3099183,Oued Laou,http://commons.wikimedia.org/wiki/Special:FilePath/Oued%20Laou%20shore%20%28Morocco%29.jpg
http://www.wikidata.org/entity/Q3099183,Oued Laou,http://commons.wikimedia.org/wiki/Special:FilePath/Mekkad%2C%20Oued%20Laou%20%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q3099183,Oued Laou,http://commons.wikimedia.org/wiki/Special:FilePath/El%20hjar%20lassfar%20%2C%20Oued%20Laou%20%2C%20Morocco.jpg
http://www.wikidata.org/entity/Q3111649,Goulmima,http://commons.wikimedia.org/wiki/Special:FilePath/Overlooking%20Goulmima-davidooms.jpg
http://www.wikidata.org/entity/Q3119260,Gueznaia,http://commons.wikimedia.org/wiki/Special:FilePath/Guezenaya%20Sky%20View.jpg
http://www.wikidata.org/entity/Q3125519,Had Kourt,http://commons.wikimedia.org/wiki/Special:FilePath/Camp%20de%20El-Had-Kourt%2C%20entre%20Mekra-bel-Ksiri%20et%20Ain-Ouzif%2C%20cercle%20du%20Sebou%2C%20les%20camps%20montent%20la%20garde%20des%20r%C3%A9coltes%20de%20bl%C3%A9%20-%20Mekra-bel-Ksiri%20-%20M%C3%A9diath%C3%A8que%20de%20l%27architecture%20et%20du%20patrimoine%20-%20AP62T111354.jpg
http://www.wikidata.org/entity/Q3127439,Harhoura,http://commons.wikimedia.org/wiki/Special:FilePath/Temara01.jpg
http://www.wikidata.org/entity/Q3154347,Irherm,http://commons.wikimedia.org/wiki/Special:FilePath/0152P8022353.jpg
http://www.wikidata.org/entity/Q3183779,Jorf El Melha,http://commons.wikimedia.org/wiki/Special:FilePath/Jorf-El-Melha%20Haut-de-notre-maison.jpg
http://www.wikidata.org/entity/Q3216488,Lakhsas,http://commons.wikimedia.org/wiki/Special:FilePath/Lakhsas%2C%20Nadour%20Province.jpg
http://www.wikidata.org/entity/Q3358142,Ouislane,http://commons.wikimedia.org/wiki/Special:FilePath/DOHA%20Morocco%2003.jpg
http://www.wikidata.org/entity/Q3358157,Oulad Berhil,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%2C%20Souss-Massa-Draa%20Region%2C%20Taroudant%20Province%2C%20Oulad%20Berhil.JPG
http://www.wikidata.org/entity/Q3358599,Outat El Haj,http://commons.wikimedia.org/wiki/Special:FilePath/On%20the%20road%20to%20OUTAT%20EL%20HAJ%20-%20Bouleman%20MOROCCO%20by%20Brahim%20FARAJI.jpg
http://www.wikidata.org/entity/Q3441236,Rommani,http://commons.wikimedia.org/wiki/Special:FilePath/Landschaft%20bei%20Rommani.JPG
http://www.wikidata.org/entity/Q3483204,Bouknadel,http://commons.wikimedia.org/wiki/Special:FilePath/Exotic%20Bouknadel%202.jpg
http://www.wikidata.org/entity/Q3532767,Touarga,http://commons.wikimedia.org/wiki/Special:FilePath/Rabat-Touarga-Bab%20Soufara.jpg
http://www.wikidata.org/entity/Q3544425,El Marsa,http://commons.wikimedia.org/wiki/Special:FilePath/Port%20de%20Laayoune.jpg
http://www.wikidata.org/entity/Q3574798,Zaouiat Cheikh,http://commons.wikimedia.org/wiki/Special:FilePath/TAMDA%2CZAOUIAT%20CHEIKH%2CMOROCCO.JPG
http://www.wikidata.org/entity/Q3985724,El Kelaa des Sraghna,http://commons.wikimedia.org/wiki/Special:FilePath/Jardin%20Central%20Kelaat%20Sraghna%202011%20by%20charaf%20bellakhdim.jpg
http://www.wikidata.org/entity/Q4115438,Zemamra,http://commons.wikimedia.org/wiki/Special:FilePath/Zemamra%20city%20-%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%85%D8%B1%D8%A9.jpg
http://www.wikidata.org/entity/Q12211296,Dar Bouazza,http://commons.wikimedia.org/wiki/Special:FilePath/Tamaris%20beach%2C%20Dar%20bouazza.JPG
http://www.wikidata.org/entity/Q13420293,Tazenakht,http://commons.wikimedia.org/wiki/Special:FilePath/Taznakht.jpg
http://www.wikidata.org/entity/Q13420293,Tazenakht,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%2C%20Souss-Massa-Draa%20Region%2C%20Ouarzazate%20Province%2C%20Tazenakht%20%282%29.JPG
http://www.wikidata.org/entity/Q27536933,Moulay Ali Cherif,http://commons.wikimedia.org/wiki/Special:FilePath/Rissani%20City%20Gate%202011.jpg
http://www.wikidata.org/entity/Q2291564,M'Rirt,http://commons.wikimedia.org/wiki/Special:FilePath/Mrirt%2C%20Morocco.jpg
